ordre,x0,x1,x2,y0,y1,etat,solution,chemin_solution,no,no_parent,a,b,c,n,rest,rest2,nombre,x,y,ID_RESOLUTION,a2,b2
0,,,,,,0,0,0,1,,,,0,5,1,0,115,0,0,10016,1,5
1,1,,,5,,0,0,0,2,1,5,1,0,1,5,5,115,1,5,1511,0,1
2,1,0,,5,1,2,0,0,3,2,5,,0,1,15,1,115,1,15,10101,0,
2,1,0,,5,1,2,0,0,4,2,5,,0,1,15,1,115,1,15,10102,1,
2,1,0,,5,1,2,0,0,5,2,5,,0,1,15,1,115,1,15,10103,2,
2,1,0,,5,1,2,0,0,6,2,5,,0,1,15,1,115,1,15,10104,3,
2,1,0,,5,1,2,0,0,7,2,5,,0,1,15,1,115,1,15,10105,4,
2,1,0,,5,1,2,0,0,8,2,5,,0,1,15,1,115,1,15,10106,5,
2,1,0,,5,1,2,0,0,9,2,5,,0,1,15,1,115,1,15,10107,6,
2,1,0,,5,1,2,0,0,10,2,5,,0,1,15,1,115,1,15,10108,7,
2,1,0,,5,1,2,0,0,11,2,5,,0,1,15,1,115,1,15,10109,8,
2,1,0,,5,1,2,0,0,12,2,5,,0,1,15,1,115,1,15,10110,9,
1,1,,,5,,0,0,0,13,1,5,1,0,1,5,5,115,1,5,1513,2,1
2,1,2,,5,1,2,0,0,14,13,5,,2,1,115,11,115,21,15,10101,0,
2,1,2,,5,1,2,0,0,15,13,5,,2,1,115,11,115,21,15,10102,1,
2,1,2,,5,1,2,0,0,16,13,5,,2,1,115,11,115,21,15,10103,2,
2,1,2,,5,1,2,0,0,17,13,5,,2,1,115,11,115,21,15,10104,3,
2,1,2,,5,1,2,0,0,18,13,5,,2,1,115,11,115,21,15,10105,4,
2,1,2,,5,1,2,0,0,19,13,5,,2,1,115,11,115,21,15,10106,5,
2,1,2,,5,1,2,0,0,20,13,5,,2,1,115,11,115,21,15,10107,6,
2,1,2,,5,1,2,0,0,21,13,5,,2,1,115,11,115,21,15,10108,7,
2,1,2,,5,1,2,0,0,22,13,5,,2,1,115,11,115,21,15,10109,8,
2,1,2,,5,1,2,0,0,23,13,5,,2,1,115,11,115,21,15,10110,9,
1,1,,,5,,0,0,0,24,1,5,1,0,1,5,5,115,1,5,1515,4,1
2,1,4,,5,1,2,0,0,25,24,5,,4,1,215,21,115,41,15,10101,0,
2,1,4,,5,1,2,0,0,26,24,5,,4,1,215,21,115,41,15,10102,1,
2,1,4,,5,1,2,0,0,27,24,5,,4,1,215,21,115,41,15,10103,2,
2,1,4,,5,1,2,0,0,28,24,5,,4,1,215,21,115,41,15,10104,3,
2,1,4,,5,1,2,0,0,29,24,5,,4,1,215,21,115,41,15,10105,4,
2,1,4,,5,1,2,0,0,30,24,5,,4,1,215,21,115,41,15,10106,5,
2,1,4,,5,1,2,0,0,31,24,5,,4,1,215,21,115,41,15,10107,6,
2,1,4,,5,1,2,0,0,32,24,5,,4,1,215,21,115,41,15,10108,7,
2,1,4,,5,1,2,0,0,33,24,5,,4,1,215,21,115,41,15,10109,8,
2,1,4,,5,1,2,0,0,34,24,5,,4,1,215,21,115,41,15,10110,9,
1,1,,,5,,0,0,0,35,1,5,1,0,1,5,5,115,1,5,1517,6,1
2,1,6,,5,1,2,0,0,36,35,5,,6,1,315,31,115,61,15,10101,0,
2,1,6,,5,1,2,0,0,37,35,5,,6,1,315,31,115,61,15,10102,1,
2,1,6,,5,1,2,0,0,38,35,5,,6,1,315,31,115,61,15,10103,2,
