ordre,x0,x1,y0,etat,solution,chemin_solution,no,no_parent,a,b,c,n,rest,rest2,nombre,x,y,ID_RESOLUTION,a2,b2
0,,,,0,0,0,1,,,,0,5,1,0,15,0,0,10016,1,5
1,1,,5,2,0,0,2,1,5,,0,1,5,5,15,1,5,10101,0,
1,1,,5,2,0,0,3,1,5,,0,1,5,5,15,1,5,10102,1,
1,1,,5,2,0,0,4,1,5,,0,1,5,5,15,1,5,10103,2,
1,1,,5,2,0,0,5,1,5,,0,1,5,5,15,1,5,10104,3,
1,1,,5,2,0,0,6,1,5,,0,1,5,5,15,1,5,10105,4,
1,1,,5,2,0,0,7,1,5,,0,1,5,5,15,1,5,10106,5,
1,1,,5,2,0,0,8,1,5,,0,1,5,5,15,1,5,10107,6,
1,1,,5,2,0,0,9,1,5,,0,1,5,5,15,1,5,10108,7,
1,1,,5,2,0,0,10,1,5,,0,1,5,5,15,1,5,10109,8,
1,1,,5,2,0,0,11,1,5,,0,1,5,5,15,1,5,10110,9,
0,,,,0,0,1,12,,,,0,5,1,0,15,0,0,10036,3,5
1,3,,5,1,1,1,13,12,5,,0,1,15,15,15,3,5,10101,0,
1,3,,5,2,0,0,14,12,5,,0,1,15,15,15,3,5,10102,1,
1,3,,5,2,0,0,15,12,5,,0,1,15,15,15,3,5,10103,2,
1,3,,5,2,0,0,16,12,5,,0,1,15,15,15,3,5,10104,3,
1,3,,5,2,0,0,17,12,5,,0,1,15,15,15,3,5,10105,4,
1,3,,5,2,0,0,18,12,5,,0,1,15,15,15,3,5,10106,5,
1,3,,5,2,0,0,19,12,5,,0,1,15,15,15,3,5,10107,6,
1,3,,5,2,0,0,20,12,5,,0,1,15,15,15,3,5,10108,7,
1,3,,5,2,0,0,21,12,5,,0,1,15,15,15,3,5,10109,8,
1,3,,5,2,0,0,22,12,5,,0,1,15,15,15,3,5,10110,9,
0,,,,0,0,1,23,,,,0,5,1,0,15,0,0,10052,5,1
1,5,,1,2,0,0,24,23,1,,0,1,5,5,15,5,1,10101,0,
1,5,,1,1,1,1,25,23,1,,0,1,5,5,15,5,1,10102,1,
1,5,,1,2,0,0,26,23,1,,0,1,5,5,15,5,1,10103,2,
1,5,,1,2,0,0,27,23,1,,0,1,5,5,15,5,1,10104,3,
1,5,,1,2,0,0,28,23,1,,0,1,5,5,15,5,1,10105,4,
1,5,,1,2,0,0,29,23,1,,0,1,5,5,15,5,1,10106,5,
1,5,,1,2,0,0,30,23,1,,0,1,5,5,15,5,1,10107,6,
