n;x;y;a;b
10001;73;137;105;32
10003;7;1429;718;711
10015;5;2003;1004;999
10019;43;233;138;95
10021;11;911;461;450
10027;37;271;154;117
10029;3;3343;1673;1670
10031;7;1433;720;713
10033;79;127;103;24
10041;3;3347;1675;1672
10049;13;773;393;380
10055;5;2011;1008;1003
10057;89;113;101;12
10063;29;347;188;159
10073;7;1439;723;716
10077;3;3359;1681;1678
10081;17;593;305;288
10083;3;3361;1682;1679
10085;5;2017;1011;1006
10097;23;439;231;208
10109;11;919;465;454
10113;3;3371;1687;1684
10117;67;151;109;42
10119;3;3373;1688;1685
10121;29;349;189;160
10123;53;191;122;69
10129;7;1447;727;720
10135;5;2027;1016;1011
10145;5;2029;1017;1012
10147;73;139;106;33
10157;7;1451;729;722
10167;3;3389;1696;1693
10171;7;1453;730;723
10173;3;3391;1697;1694
10183;17;599;308;291
10187;61;167;114;53
10189;23;443;233;210
10195;5;2039;1022;1017
10201;101;101;101;0
10207;59;173;116;57
10213;7;1459;733;726
10217;17;601;309;292
10219;11;929;470;459
10221;3;3407;1705;1702
10229;53;193;123;70
10231;13;787;400;387
10237;29;353;191;162
10239;3;3413;1708;1705
10249;37;277;157;120
10261;31;331;181;150
10265;5;2053;1029;1024
10277;43;239;141;98
10279;19;541;280;261
10291;41;251;146;105
10297;7;1471;739;732
10299;3;3433;1718;1715
10307;11;937;474;463
10315;5;2063;1034;1029
10319;17;607;312;295
10327;23;449;236;213
10345;5;2069;1037;1032
10347;3;3449;1726;1723
10349;79;131;105;26
10351;11;941;476;465
10361;13;797;405;392
10363;43;241;142;99
10367;7;1481;744;737
10371;3;3457;1730;1727
10379;97;107;102;5
10381;7;1483;745;738
10383;3;3461;1732;1729
10389;3;3463;1733;1730
10393;19;547;283;264
10397;37;281;159;122
10401;3;3467;1735;1732
10403;101;103;102;1
10405;5;2081;1043;1038
10407;3;3469;1736;1733
10409;7;1487;747;740
10411;29;359;194;165
10415;5;2083;1044;1039
10417;11;947;479;468
10421;17;613;315;298
10423;7;1489;748;741
10435;5;2087;1046;1041
10441;53;197;125;72
10445;5;2089;1047;1042
10447;31;337;184;153
10451;7;1493;750;743
10471;37;283;160;123
10473;3;3491;1747;1744
10481;47;223;135;88
10483;11;953;482;471
10489;17;617;317;300
10493;7;1499;753;746
10495;5;2099;1052;1047
10497;3;3499;1751;1748
10511;23;457;240;217
10517;13;809;411;398
10519;67;157;112;45
10523;17;619;318;301
10533;3;3511;1757;1754
10537;41;257;149;108
10541;83;127;105;22
10543;13;811;412;399
10547;53;199;126;73
10551;3;3517;1760;1757
10553;61;173;117;56
10555;5;2111;1058;1053
10561;59;179;119;60
10565;5;2113;1059;1054
10573;97;109;103;6
10577;7;1511;759;752
10579;71;149;110;39
10581;3;3527;1765;1762
10583;19;557;288;269
10587;3;3529;1766;1763
10599;3;3533;1768;1765
10603;23;461;242;219
10609;103;103;103;0
10617;3;3539;1771;1768
10623;3;3541;1772;1769
10637;11;967;489;478
10641;3;3547;1775;1772
10643;29;367;198;169
10645;5;2129;1067;1062
10649;23;463;243;220
10655;5;2131;1068;1063
10661;7;1523;765;758
10669;47;227;137;90
10671;3;3557;1780;1777
10673;13;821;417;404
10677;3;3559;1781;1778
10679;59;181;120;61
10681;11;971;491;480
10685;5;2137;1071;1066
10697;19;563;291;272
10699;13;823;418;405
10705;5;2141;1073;1068
10713;3;3571;1787;1784
10715;5;2143;1074;1069
10717;7;1531;769;762
10721;71;151;111;40
10727;17;631;324;307
10741;23;467;245;222
10743;3;3581;1792;1789
10747;11;977;494;483
10749;3;3583;1793;1790
10751;13;827;420;407
10757;31;347;189;158
10763;47;229;138;91
10765;5;2153;1079;1074
10777;13;829;421;408
10779;3;3593;1798;1795
10783;41;263;152;111
10793;43;251;147;104
10801;7;1543;775;768
10805;5;2161;1083;1078
10807;101;107;104;3
10811;19;569;294;275
10813;11;983;497;486
10817;29;373;201;172
10819;31;349;190;159
10821;3;3607;1805;1802
10823;79;137;108;29
10839;3;3613;1808;1805
10841;37;293;165;128
10843;7;1549;778;771
10849;19;571;295;276
10851;3;3617;1810;1807
10869;3;3623;1813;1810
10871;7;1553;780;773
10873;83;131;107;24
10877;73;149;111;38
10893;3;3631;1817;1814
10895;5;2179;1092;1087
10897;17;641;329;312
10901;11;991;501;490
10907;13;839;426;413
10911;3;3637;1820;1817
10913;7;1559;783;776
10919;61;179;120;59
10921;67;163;115;48
10929;3;3643;1823;1820
10931;17;643;330;313
10943;31;353;192;161
10951;47;233;140;93
10961;97;113;105;8
10963;19;577;298;279
10967;11;997;504;493
10969;7;1567;787;780
10977;3;3659;1831;1828
10981;79;139;109;30
10991;29;379;204;175
10997;7;1571;789;782
10999;17;647;332;315
11009;101;109;105;4
11013;3;3671;1837;1834
11015;5;2203;1104;1099
11017;23;479;251;228
11019;3;3673;1838;1835
11021;103;107;105;2
11023;73;151;112;39
11029;41;269;155;114
11031;3;3677;1840;1837
11035;5;2207;1106;1101
11041;61;181;121;60
11051;43;257;150;107
11053;7;1579;793;786
11065;5;2213;1109;1104
11073;3;3691;1847;1844
11081;7;1583;795;788
11089;13;853;433;420
11091;3;3697;1850;1847
11099;11;1009;510;499
11101;17;653;335;318
11103;3;3701;1852;1849
11105;5;2221;1113;1108
11107;29;383;206;177
11111;41;271;156;115
11127;3;3709;1856;1853
11129;31;359;195;164
11141;13;857;435;422
11143;11;1013;512;501
11147;71;157;114;43
11153;19;587;303;284
11157;3;3719;1861;1858
11167;13;859;436;423
11179;7;1597;802;795
11181;3;3727;1865;1862
11183;53;211;132;79
11185;5;2237;1121;1116
11189;67;167;117;50
11195;5;2239;1122;1117
11199;3;3733;1868;1865
11201;23;487;255;232
11203;17;659;338;321
11207;7;1601;804;797
11209;11;1019;515;504
11215;5;2243;1124;1119
11217;3;3739;1871;1868
11219;13;863;438;425
11227;103;109;106;3
11231;11;1021;516;505
11233;47;239;143;96
11237;17;661;339;322
11249;7;1607;807;800
11255;5;2251;1128;1123
11263;7;1609;808;801
11267;19;593;306;287
11269;59;191;125;66
11281;29;389;209;180
11283;3;3761;1882;1879
11291;7;1613;810;803
11293;23;491;257;234
11301;3;3767;1885;1882
11303;89;127;108;19
11307;3;3769;1886;1883
11309;43;263;153;110
11327;47;241;144;97
11333;7;1619;813;806
11335;5;2267;1136;1131
11337;3;3779;1891;1888
11341;11;1031;521;510
11345;5;2269;1137;1132
11347;7;1621;814;807
11357;41;277;159;118
