ordre,x0,x1,x2,x3,x4,y0,y1,y2,etat,solution,chemin_solution,no,no_parent,a,b,c,n,rest,rest2,nombre,x,y,ID_RESOLUTION,a2,b2
0,1,,,,,1,,,0,0,1,1,,,,0,1,1,0,10511,0,0,10012,1,1
1,1,1,,,,1,0,,0,0,1,2,1,1,1,0,1,1,1,10511,1,1,1102,1,0
2,1,1,5,,,1,0,0,0,0,1,3,2,1,1,0,5,11,1,10511,11,1,1106,5,0
3,1,1,5,0,,1,0,0,0,0,1,4,3,1,,0,0,511,5,10511,511,1,10101,0,
4,1,1,5,0,1,1,0,0,1,1,1,6,4,1,,0,1,511,0,10511,511,1,10102,1,
0,3,,,,,7,,,0,0,1,11112,,,,0,1,1,0,10511,0,0,10038,3,7
1,3,2,,,,7,5,,0,0,1,16668,11112,7,3,0,1,21,21,10511,3,7,3753,2,5
2,3,2,0,,,7,5,4,0,0,1,17113,16668,7,3,10,5,311,31,10511,23,57,3741,0,4
3,3,2,0,0,,7,5,4,0,0,1,17114,17113,7,,8,0,2511,25,10511,23,457,10101,0,
4,3,2,0,0,0,7,5,4,1,1,1,17115,17114,7,,0,1,10511,10,10511,23,457,10101,0,
0,7,,,,,3,,,0,0,1,22223,,,,0,1,1,0,10511,0,0,10074,7,3
1,7,5,,,,3,2,,0,0,1,24446,22223,3,7,0,1,21,21,10511,7,3,7326,5,2
2,7,5,4,,,3,2,0,0,0,1,24447,24446,3,7,10,5,311,31,10511,57,23,7305,4,0
3,7,5,4,0,,3,2,0,0,0,1,24448,24447,3,,8,0,2511,25,10511,457,23,10101,0,
4,7,5,4,0,0,3,2,0,1,1,1,24449,24448,3,,0,1,10511,10,10511,457,23,10101,0,
0,3,,,,,9,,,0,0,1,11112,,,,0,7,1,0,10517,0,0,10040,3,9
1,3,1,,,,9,0,,0,0,1,11113,11112,9,3,0,1,27,27,10517,3,9,3902,1,0
2,3,1,0,,,9,0,8,0,0,1,12002,11113,9,3,0,5,117,11,10517,13,9,3981,0,8
3,3,1,0,0,,9,0,8,0,0,1,12003,12002,9,,8,0,2517,25,10517,13,809,10101,0,
4,3,1,0,0,0,9,0,8,1,1,1,12004,12003,9,,0,1,10517,10,10517,13,809,10101,0,
0,7,,,,,1,,,0,0,1,22223,,,,0,7,1,0,10517,0,0,10072,7,1
1,7,1,,,,1,0,,0,0,1,22224,22223,1,7,0,1,7,7,10517,7,1,7102,1,0
2,7,1,5,,,1,0,0,0,0,1,22225,22224,1,7,0,5,17,1,10517,17,1,7106,5,0
3,7,1,5,0,,1,0,0,0,0,1,22226,22225,1,,0,0,517,5,10517,517,1,10101,0,
4,7,1,5,0,1,1,0,0,1,1,1,22228,22226,1,,0,1,517,0,10517,517,1,10102,1,
0,9,,,,,3,,,0,0,1,33334,,,,0,7,1,0,10517,0,0,10094,9,3
1,9,0,,,,3,1,,0,0,1,34446,33334,3,9,0,1,27,27,10517,9,3,9311,0,1
2,9,0,8,,,3,1,0,0,0,1,34447,34446,3,9,0,5,117,11,10517,9,13,9309,8,0
3,9,0,8,0,,3,1,0,0,0,1,34448,34447,3,,8,0,2517,25,10517,809,13,10101,0,
4,9,0,8,0,0,3,1,0,1,1,1,34449,34448,3,,0,1,10517,10,10517,809,13,10101,0,
