ordre,x0,x1,x2,x3,x4,y0,y1,y2,etat,solution,chemin_solution,no,no_parent,a,b,c,n,rest,rest2,nombre,x,y,ID_RESOLUTION,a2,b2
4,3,2,0,0,0,7,5,4,1,1,1,17115,17114,7,,0,1,10511,10,10511,23,457,10101,0,
4,7,5,4,0,0,3,2,0,1,1,1,24449,24448,3,,0,1,10511,10,10511,457,23,10101,0,
4,3,1,0,0,0,9,0,8,1,1,1,12004,12003,9,,0,1,10517,10,10517,13,809,10101,0,
4,9,0,8,0,0,3,1,0,1,1,1,34449,34448,3,,0,1,10517,10,10517,809,13,10101,0,
4,7,6,0,0,0,7,5,1,1,1,1,27893,27892,7,,0,1,10519,10,10519,67,157,10101,0,
4,7,5,1,0,0,7,6,0,1,1,1,28893,28892,7,,0,1,10519,10,10519,157,67,10101,0,
4,7,1,0,0,0,9,1,6,1,1,1,24004,24003,9,,0,1,10523,10,10523,17,619,10101,0,
4,9,1,6,0,0,7,1,0,1,1,1,34449,34448,7,,0,1,10523,10,10523,619,17,10101,0,
4,1,1,5,3,0,3,0,0,1,1,1,38,37,3,,0,1,10533,10,10533,3511,3,10101,0,
4,1,4,0,0,0,7,5,2,1,1,1,5782,5781,7,,0,1,10537,10,10537,41,257,10101,0,
4,7,5,2,0,0,1,4,0,1,1,1,26671,26670,1,,0,1,10537,10,10537,257,41,10101,0,
4,3,8,0,0,0,7,2,1,1,1,1,13449,13448,7,,0,1,10541,10,10541,83,127,10101,0,
4,7,2,1,0,0,3,8,0,1,1,1,31115,31114,3,,0,1,10541,10,10541,127,83,10101,0,
4,1,1,8,0,0,3,1,0,1,1,1,1116,1115,3,,0,1,10543,10,10543,811,13,10101,0,
4,3,1,0,0,0,1,1,8,1,1,1,13115,13114,1,,0,1,10543,10,10543,13,811,10101,0,
4,3,5,0,0,0,9,9,1,1,1,1,21226,21225,9,,0,1,10547,10,10547,53,199,10101,0,
4,9,9,1,0,0,3,5,0,1,1,1,38893,38892,3,,0,1,10547,10,10547,199,53,10101,0,
4,7,1,5,3,0,3,0,0,1,1,1,22260,22259,3,,0,1,10551,10,10551,3517,3,10101,0,
4,1,6,0,0,0,3,7,1,1,1,1,7893,7892,3,,0,1,10553,10,10553,61,173,10101,0,
4,3,7,1,0,0,1,6,0,1,1,1,17782,17781,1,,0,1,10553,10,10553,173,61,10101,0,
4,1,1,1,2,0,5,0,0,1,1,1,27,26,5,,0,1,10555,10,10555,2111,5,10101,0,
4,9,7,1,0,0,9,5,0,1,1,1,38893,38892,9,,0,1,10561,10,10561,179,59,10101,0,
4,9,5,0,0,0,9,7,1,1,1,1,41226,41225,9,,0,1,10561,10,10561,59,179,10101,0,
4,3,1,1,2,0,5,0,0,1,1,1,11138,11137,5,,0,1,10565,10,10565,2113,5,10101,0,
4,7,9,0,0,0,9,0,1,1,1,1,22338,22337,9,,0,1,10573,10,10573,97,109,10101,0,
4,9,0,1,0,0,7,9,0,1,1,1,43337,43336,7,,0,1,10573,10,10573,109,97,10101,0,
4,1,1,5,1,0,7,0,0,1,1,1,16,15,7,,0,1,10577,10,10577,1511,7,10101,0,
4,1,7,0,0,0,9,4,1,1,1,1,4560,4559,9,,0,1,10579,10,10579,71,149,10101,0,
4,9,4,1,0,0,1,7,0,1,1,1,41115,41114,1,,0,1,10579,10,10579,149,71,10101,0,
4,7,2,5,3,0,3,0,0,1,1,1,22260,22259,3,,0,1,10581,10,10581,3527,3,10101,0,
4,7,5,5,0,0,9,1,0,1,1,1,23338,23337,9,,0,1,10583,10,10583,557,19,10101,0,
4,9,1,0,0,0,7,5,5,1,1,1,39448,39447,7,,0,1,10583,10,10583,19,557,10101,0,
4,9,2,5,3,0,3,0,0,1,1,1,33371,33370,3,,0,1,10587,10,10587,3529,3,10101,0,
4,3,3,5,3,0,3,0,0,1,1,1,11149,11148,3,,0,1,10599,10,10599,3533,3,10101,0,
4,1,1,3,0,0,7,3,0,1,1,1,3338,3337,7,,0,1,11507,11,11507,311,37,10101,0,
4,7,3,0,0,0,1,1,3,1,1,1,23671,23670,1,,0,1,11507,11,11507,37,311,10101,0,
4,7,7,6,0,0,7,1,0,1,1,1,23338,23337,7,,0,1,11509,11,11509,677,17,10101,0,
4,7,1,0,0,0,7,7,6,1,1,1,30670,30669,7,,0,1,11509,11,11509,17,677,10101,0,
4,7,9,3,0,0,9,2,0,1,1,1,24449,24448,9,,0,1,11513,11,11513,397,29,10101,0,
4,9,2,0,0,0,7,9,3,1,1,1,43670,43669,7,,0,1,11513,11,11513,29,397,10101,0,
4,1,8,2,0,0,1,4,0,1,1,1,4449,4448,1,,0,1,11521,11,11521,281,41,10101,0,
4,1,4,0,0,0,1,8,2,1,1,1,9115,9114,1,,0,1,11521,11,11521,41,281,10101,0,
4,3,1,0,0,0,7,8,8,1,1,1,20892,20891,7,,0,1,11531,11,11531,13,887,10101,0,
4,7,8,8,0,0,3,1,0,1,1,1,23338,23337,3,,0,1,11531,11,11531,887,13,10101,0,
4,7,0,6,0,0,9,1,0,1,1,1,23338,23337,9,,0,1,11533,11,11533,607,19,10101,0,
4,9,1,0,0,0,7,0,6,1,1,1,34004,34003,7,,0,1,11533,11,11533,19,607,10101,0,
4,3,8,0,0,0,9,3,1,1,1,1,14560,14559,9,,0,1,11537,11,11537,83,139,10101,0,
4,9,3,1,0,0,3,8,0,1,1,1,42226,42225,3,,0,1,11537,11,11537,139,83,10101,0,
4,9,4,0,1,0,1,1,0,1,1,1,34460,34459,1,,1,1,1539,1,11539,1049,11,10101,0,
4,7,4,8,3,0,3,0,0,1,1,1,22260,22259,3,,0,1,11541,11,11541,3847,3,10101,0,
4,9,0,3,2,0,5,0,0,1,1,1,77916,77915,5,,0,1,11545,11,11545,2309,5,10101,0,
4,1,5,8,3,0,3,0,0,1,1,1,38,37,3,,0,1,11553,11,11553,3851,3,10101,0,
4,1,1,3,2,0,5,0,0,1,1,1,138,137,5,,0,1,11555,11,11555,2311,5,10101,0,
4,3,5,8,3,0,3,0,0,1,1,1,11149,11148,3,,0,1,11559,11,11559,3853,3,10101,0,
4,1,5,0,1,0,1,1,0,1,1,1,1127,1126,1,,1,1,1561,1,11561,1051,11,10101,0,
4,1,3,0,0,0,3,7,3,1,1,1,8115,8114,3,,0,1,11563,11,11563,31,373,10101,0,
4,3,7,3,0,0,1,3,0,1,1,1,14449,14448,1,,0,1,11563,11,11563,373,31,10101,0,
4,3,4,0,0,0,9,6,2,1,1,1,18004,18003,9,,0,1,11567,11,11567,43,269,10101,0,
4,9,6,2,0,0,3,4,0,1,1,1,37782,37781,3,,0,1,11567,11,11567,269,43,10101,0,
4,3,2,0,0,0,3,0,5,1,1,1,11671,11670,3,,0,1,11569,11,11569,23,503,10101,0,
4,3,0,5,0,0,3,2,0,1,1,1,13338,13337,3,,0,1,11569,11,11569,503,23,10101,0,
4,1,7,0,0,0,3,6,1,1,1,1,6782,6781,3,,0,1,11573,11,11573,71,163,10101,0,
4,3,6,1,0,0,1,7,0,1,1,1,18893,18892,1,,0,1,11573,11,11573,163,71,10101,0,
4,3,1,3,0,0,7,3,0,1,1,1,14449,14448,7,,0,1,11581,11,11581,313,37,10101,0,
4,7,3,0,0,0,3,1,3,1,1,1,23671,23670,3,,0,1,11581,11,11581,37,313,10101,0,
4,3,6,8,3,0,3,0,0,1,1,1,11149,11148,3,,0,1,11589,11,11589,3863,3,10101,0,
4,3,7,1,0,0,7,6,0,1,1,1,17782,17781,7,,0,1,11591,11,11591,173,67,10101,0,
4,7,6,0,0,0,3,7,1,1,1,1,30115,30114,3,,0,1,11591,11,11591,67,173,10101,0,
4,7,5,6,1,0,7,0,0,1,1,1,22238,22237,7,,0,1,11599,11,11599,1657,7,10101,0,
